time step (dt), time (t) ,Total Energy, potential energy(E_pot) , kinetic energy (E_kin)
10,0,-3328.15,-3328.15,3.26225e-05
10,10,-3330.04,-3330.04,0.000124091
10,20,-3332.8,-3332.8,0.000257639
10,30,-3335.97,-3335.97,0.000411917
10,40,-3339.15,-3339.15,0.000566955
10,50,-3342.04,-3342.04,0.000707991
10,60,-3344.47,-3344.47,0.000826693
10,70,-3346.38,-3346.38,0.000920532
10,80,-3347.82,-3347.82,0.00099128
10,90,-3348.87,-3348.87,0.00104332
1,0,-3327.48,-3327.48,3.34688e-07
1,1,-3327.5,-3327.5,1.33806e-06
1,2,-3327.54,-3327.54,3.00803e-06
1,3,-3327.59,-3327.59,5.34115e-06
1,4,-3327.65,-3327.65,8.33258e-06
1,5,-3327.72,-3327.72,1.19762e-05
1,6,-3327.81,-3327.81,1.62644e-05
1,7,-3327.91,-3327.91,2.11886e-05
1,8,-3328.02,-3328.02,2.67387e-05
1,9,-3328.15,-3328.15,3.29035e-05
1,10,-3328.29,-3328.29,3.96706e-05
1,11,-3328.44,-3328.44,4.70264e-05
1,12,-3328.6,-3328.6,5.49566e-05
1,13,-3328.77,-3328.77,6.34455e-05
1,14,-3328.96,-3328.96,7.24766e-05
1,15,-3329.15,-3329.15,8.20326e-05
1,16,-3329.36,-3329.36,9.20954e-05
1,17,-3329.57,-3329.57,0.000102646
1,18,-3329.8,-3329.8,0.000113665
1,19,-3330.03,-3330.03,0.000125132
1,20,-3330.28,-3330.28,0.000137026
1,21,-3330.53,-3330.53,0.000149327
1,22,-3330.79,-3330.79,0.000162012
1,23,-3331.05,-3331.05,0.00017506
1,24,-3331.32,-3331.33,0.000188448
1,25,-3331.6,-3331.6,0.000202155
1,26,-3331.89,-3331.89,0.000216158
1,27,-3332.18,-3332.18,0.000230435
1,28,-3332.48,-3332.48,0.000244962
1,29,-3332.78,-3332.78,0.000259718
1,30,-3333.09,-3333.09,0.000274681
1,31,-3333.39,-3333.39,0.000289827
1,32,-3333.71,-3333.71,0.000305137
1,33,-3334.02,-3334.02,0.000320587
1,34,-3334.34,-3334.34,0.000336157
1,35,-3334.66,-3334.66,0.000351826
1,36,-3334.98,-3334.98,0.000367573
1,37,-3335.3,-3335.3,0.000383379
1,38,-3335.63,-3335.63,0.000399224
1,39,-3335.95,-3335.95,0.000415089
1,40,-3336.28,-3336.28,0.000430956
1,41,-3336.6,-3336.6,0.000446807
1,42,-3336.92,-3336.92,0.000462624
1,43,-3337.24,-3337.24,0.000478392
1,44,-3337.56,-3337.57,0.000494094
1,45,-3337.88,-3337.88,0.000509715
1,46,-3338.2,-3338.2,0.00052524
1,47,-3338.52,-3338.52,0.000540655
1,48,-3338.83,-3338.83,0.000555947
1,49,-3339.14,-3339.14,0.000571103
1,50,-3339.44,-3339.44,0.000586112
1,51,-3339.75,-3339.75,0.000600961
1,52,-3340.05,-3340.05,0.000615641
1,53,-3340.34,-3340.34,0.000630142
1,54,-3340.63,-3340.63,0.000644453
1,55,-3340.92,-3340.92,0.000658567
1,56,-3341.21,-3341.21,0.000672476
1,57,-3341.49,-3341.49,0.000686172
1,58,-3341.76,-3341.76,0.000699648
1,59,-3342.03,-3342.03,0.0007129
1,60,-3342.3,-3342.3,0.00072592
1,61,-3342.56,-3342.56,0.000738705
1,62,-3342.81,-3342.81,0.00075125
1,63,-3343.07,-3343.07,0.000763551
1,64,-3343.31,-3343.31,0.000775605
1,65,-3343.55,-3343.55,0.00078741
1,66,-3343.79,-3343.79,0.000798964
1,67,-3344.02,-3344.02,0.000810264
1,68,-3344.24,-3344.25,0.000821311
1,69,-3344.46,-3344.47,0.000832103
1,70,-3344.68,-3344.68,0.00084264
1,71,-3344.89,-3344.89,0.000852922
1,72,-3345.09,-3345.1,0.00086295
1,73,-3345.29,-3345.29,0.000872726
1,74,-3345.49,-3345.49,0.00088225
1,75,-3345.68,-3345.68,0.000891525
1,76,-3345.86,-3345.86,0.000900552
1,77,-3346.04,-3346.04,0.000909335
1,78,-3346.22,-3346.22,0.000917875
1,79,-3346.38,-3346.39,0.000926177
1,80,-3346.55,-3346.55,0.000934243
1,81,-3346.71,-3346.71,0.000942077
1,82,-3346.86,-3346.87,0.000949683
1,83,-3347.02,-3347.02,0.000957065
1,84,-3347.16,-3347.16,0.000964228
1,85,-3347.3,-3347.3,0.000971175
1,86,-3347.44,-3347.44,0.000977913
1,87,-3347.57,-3347.58,0.000984445
1,88,-3347.7,-3347.7,0.000990777
1,89,-3347.83,-3347.83,0.000996913
1,90,-3347.95,-3347.95,0.00100286
1,91,-3348.07,-3348.07,0.00100862
1,92,-3348.18,-3348.18,0.0010142
1,93,-3348.29,-3348.29,0.00101961
1,94,-3348.4,-3348.4,0.00102485
1,95,-3348.5,-3348.5,0.00102993
1,96,-3348.6,-3348.6,0.00103486
1,97,-3348.7,-3348.7,0.00103963
1,98,-3348.8,-3348.8,0.00104425
1,99,-3348.89,-3348.89,0.00104874
0.5,0,-3327.48,-3327.48,8.36884e-08
0.5,0.5,-3327.48,-3327.48,3.3471e-07
0.5,1,-3327.49,-3327.49,7.52935e-07
0.5,1.5,-3327.5,-3327.5,1.33815e-06
0.5,2,-3327.52,-3327.52,2.09004e-06
0.5,2.5,-3327.54,-3327.54,3.00823e-06
0.5,3,-3327.56,-3327.56,4.09223e-06
0.5,3.5,-3327.59,-3327.59,5.34149e-06
0.5,4,-3327.62,-3327.62,6.75536e-06
0.5,4.5,-3327.65,-3327.65,8.33312e-06
0.5,5,-3327.68,-3327.68,1.00739e-05
0.5,5.5,-3327.72,-3327.72,1.19769e-05
0.5,6,-3327.76,-3327.76,1.40412e-05
0.5,6.5,-3327.81,-3327.81,1.62655e-05
0.5,7,-3327.86,-3327.86,1.86488e-05
0.5,7.5,-3327.91,-3327.91,2.119e-05
0.5,8,-3327.97,-3327.97,2.38876e-05
0.5,8.5,-3328.02,-3328.02,2.67404e-05
0.5,9,-3328.08,-3328.08,2.97469e-05
